shipment_id,order_id,ship_date,ship_mode,shipping_cost
1229,1229,2026-05-30,Same Day,27.83
1230,1230,2025-01-16,First Class,22.63
1231,1231,2025-07-31,Same Day,42.25
1232,1232,2024-08-07,First Class,26.81
1233,1233,2024-07-29,Second Class,12.58
1234,1234,2024-06-23,Standard,42.3
1235,1235,2025-11-03,First Class,35.09
1236,1236,2024-08-09,Second Class,38.93
1237,1237,2025-09-30,Standard,10.67
1238,1238,2025-07-14,Second Class,33.54
1239,1239,2026-01-17,First Class,31.25
1240,1240,2024-11-29,Second Class,25.1
1241,1241,2024-08-15,Standard,36.5
1242,1242,2026-02-07,Same Day,25.91
1243,1243,2024-06-26,First Class,32.77
1244,1244,2025-06-08,First Class,35.57
1245,1245,2026-04-30,Same Day,33.88
1246,1246,2025-03-13,First Class,26.34
1247,1247,2026-04-14,First Class,8.96
1248,1248,2024-09-20,Standard,46.63
1249,1249,2025-12-09,Same Day,16.69
1250,1250,2025-03-05,Second Class,45.24
1251,1251,2025-02-26,Second Class,49.38
1252,1252,2025-11-16,First Class,12.88
1253,1253,2025-08-07,Second Class,34.0
1254,1254,2024-10-11,Second Class,14.68
1255,1255,2025-01-26,Standard,22.87
1256,1256,2025-02-23,Second Class,28.0
1257,1257,2025-10-06,Second Class,24.39
1258,1258,2025-02-27,Same Day,45.01
1259,1259,2025-07-09,First Class,42.15
1260,1260,2025-03-22,First Class,37.13
1261,1261,2026-03-10,Second Class,49.42
1262,1262,2024-10-20,Second Class,47.87
1263,1263,2025-01-18,Second Class,25.26
1264,1264,2026-02-17,Second Class,15.45
1265,1265,2025-12-04,Standard,39.67
1266,1266,2025-12-18,Same Day,42.9
1267,1267,2026-04-08,Second Class,44.63
1268,1268,2025-07-08,Standard,19.29
1269,1269,2025-02-17,First Class,28.23
1270,1270,2025-02-23,Same Day,32.19
1271,1271,2024-08-27,Second Class,44.94
1272,1272,2025-10-15,Standard,37.01
1273,1273,2025-01-28,First Class,35.29
1274,1274,2026-02-15,Standard,49.83
1275,1275,2024-09-28,Same Day,24.38
1276,1276,2024-06-14,First Class,15.77
1277,1277,2026-05-02,Standard,27.34
1278,1278,2026-02-18,Standard,17.09
1279,1279,2025-06-29,Standard,12.24
1280,1280,2024-12-07,First Class,43.16
1281,1281,2025-03-11,Second Class,34.87
1282,1282,2025-04-24,Standard,43.26
1283,1283,2025-03-15,First Class,20.5
1284,1284,2025-10-21,Standard,39.04
1285,1285,2024-07-07,Second Class,32.81
1286,1286,2025-04-11,Standard,28.35
1287,1287,2024-10-08,Standard,33.15
1288,1288,2026-05-12,Same Day,29.08
1289,1289,2025-07-16,Same Day,49.64
1290,1290,2024-10-18,Second Class,24.58
1291,1291,2024-09-17,Standard,30.65
1292,1292,2025-09-09,Standard,33.22
1293,1293,2024-11-19,First Class,11.29
1294,1294,2024-09-30,First Class,44.72
1295,1295,2026-05-21,First Class,21.95
1296,1296,2024-10-16,Same Day,18.5
1297,1297,2025-07-21,Standard,41.68
1298,1298,2024-09-27,First Class,15.37
1299,1299,2025-01-13,First Class,32.57
1300,1300,2025-10-31,Same Day,16.0
1301,1301,2026-01-07,First Class,25.8
1302,1302,2024-09-03,First Class,42.11
1303,1303,2025-06-28,Same Day,35.29
1304,1304,2025-07-16,First Class,14.44
1305,1305,2025-10-30,Second Class,20.06
1306,1306,2026-01-18,Standard,30.69
1307,1307,2025-10-31,First Class,11.76
1308,1308,2025-12-24,Standard,40.77
1309,1309,2026-04-03,First Class,36.88
1310,1310,2025-11-03,First Class,33.58
1311,1311,2025-12-25,First Class,15.13
1312,1312,2026-02-19,First Class,15.27
1313,1313,2026-05-16,First Class,38.6
1314,1314,2024-05-29,Same Day,43.33
1315,1315,2026-04-25,First Class,35.96
1316,1316,2025-07-03,Standard,6.72
1317,1317,2025-09-04,Standard,35.08
1318,1318,2024-09-03,Same Day,13.53
1319,1319,2024-10-28,Same Day,21.4
1320,1320,2024-06-11,Standard,27.35
1321,1321,2024-12-06,Second Class,43.14
1322,1322,2025-06-02,Second Class,40.92
1323,1323,2025-01-12,Same Day,17.93
1324,1324,2025-04-16,Second Class,15.14
1325,1325,2025-05-14,First Class,44.43
1326,1326,2025-10-17,Same Day,7.83
1327,1327,2025-02-13,Second Class,48.56
1328,1328,2025-03-14,Same Day,19.04
1329,1329,2026-02-18,Standard,20.77
1330,1330,2026-01-17,Standard,25.77
1331,1331,2024-08-07,Same Day,34.23
1332,1332,2024-06-04,Second Class,32.31
1333,1333,2024-10-05,First Class,5.4
1334,1334,2025-01-26,Standard,21.17
1335,1335,2025-12-10,Same Day,25.35
1336,1336,2025-02-04,Same Day,16.53
1337,1337,2026-04-21,Standard,15.16
1338,1338,2025-02-19,Standard,18.03
1339,1339,2025-07-01,Standard,40.73
1340,1340,2026-05-02,First Class,38.05
1341,1341,2026-01-21,Same Day,36.2
1342,1342,2025-03-05,First Class,13.1
1343,1343,2025-03-08,Same Day,26.49
1344,1344,2025-11-08,Second Class,20.53
1345,1345,2025-08-03,First Class,16.37
1346,1346,2024-10-28,First Class,15.97
1347,1347,2025-01-11,Second Class,34.48
1348,1348,2024-12-02,Same Day,43.42
1349,1349,2026-03-03,Standard,30.95
1350,1350,2024-11-06,First Class,10.82
1351,1351,2026-05-25,Standard,31.63
1352,1352,2024-11-13,Second Class,44.64
1353,1353,2026-03-25,First Class,13.65
1354,1354,2024-08-15,Standard,49.78
1355,1355,2024-09-29,Second Class,28.5
1356,1356,2024-09-11,Standard,25.03
1357,1357,2024-11-27,Same Day,10.16
1358,1358,2025-04-25,First Class,22.56
1359,1359,2024-09-03,Same Day,41.15
1360,1360,2025-03-04,First Class,16.82
1361,1361,2025-04-14,First Class,28.5
1362,1362,2026-05-25,Same Day,15.41
1363,1363,2026-04-28,Standard,20.19
1364,1364,2025-03-18,Standard,28.7
1365,1365,2026-01-19,Same Day,10.1
1366,1366,2024-08-11,First Class,5.1
1367,1367,2025-01-16,Same Day,32.53
1368,1368,2025-04-27,Same Day,9.5
1369,1369,2024-11-17,Standard,43.83
1370,1370,2025-11-29,First Class,29.55
1371,1371,2025-07-06,Standard,16.99
1372,1372,2024-12-01,Same Day,30.7
1373,1373,2024-09-29,Second Class,45.17
1374,1374,2026-04-08,Second Class,18.34
1375,1375,2026-01-03,Standard,17.51
1376,1376,2026-01-24,First Class,28.32
1377,1377,2025-01-01,Same Day,5.33
1378,1378,2026-01-24,First Class,34.41
1379,1379,2025-06-05,First Class,17.92
1380,1380,2026-04-03,First Class,47.33
1381,1381,2024-09-28,Same Day,43.55
1382,1382,2026-02-12,Same Day,38.7
1383,1383,2026-01-28,Standard,14.86
1384,1384,2025-06-29,Second Class,26.86
1385,1385,2024-08-11,Same Day,23.11
1386,1386,2025-03-02,Standard,41.21
1387,1387,2025-04-22,Standard,13.85
1388,1388,2026-06-02,Standard,25.13
1389,1389,2025-10-21,Standard,20.43
1390,1390,2026-04-29,Second Class,14.77
1391,1391,2024-09-08,Same Day,5.6
1392,1392,2024-10-07,Second Class,45.54
1393,1393,2025-03-19,First Class,6.45
1394,1394,2024-06-25,First Class,18.92
1395,1395,2025-04-24,Second Class,20.14
1396,1396,2026-02-05,First Class,17.13
1397,1397,2026-04-10,Same Day,25.49
1398,1398,2026-01-07,Second Class,39.99
1399,1399,2026-01-25,Second Class,19.78
1400,1400,2025-09-01,Second Class,34.86
1401,1401,2026-04-20,Second Class,25.82
1402,1402,2026-01-30,Standard,31.73
1403,1403,2025-06-17,First Class,26.08
1404,1404,2025-09-26,Same Day,8.21
1405,1405,2024-10-15,Same Day,15.17
1406,1406,2024-07-13,Same Day,6.5
1407,1407,2026-04-20,Same Day,37.19
1408,1408,2025-10-30,Second Class,35.88
1409,1409,2025-07-24,Standard,31.67
1410,1410,2025-02-19,First Class,30.73
1411,1411,2025-05-20,Same Day,34.03
1412,1412,2025-05-14,Standard,41.25
1413,1413,2024-06-28,Same Day,45.34
1414,1414,2025-02-13,First Class,21.2
1415,1415,2025-04-20,Standard,44.37
1416,1416,2025-04-11,Standard,40.87
1417,1417,2024-12-16,First Class,33.37
1418,1418,2025-11-26,Same Day,20.21
1419,1419,2025-12-13,Same Day,8.99
1420,1420,2025-01-06,Standard,41.98
1421,1421,2025-09-07,Standard,18.9
1422,1422,2026-05-06,Second Class,29.12
1423,1423,2024-10-19,Standard,11.02
1424,1424,2025-04-13,Second Class,29.19
1425,1425,2024-10-22,First Class,38.73
1426,1426,2026-04-24,First Class,36.03
1427,1427,2025-02-21,First Class,32.77
1428,1428,2024-12-20,Same Day,41.86
1429,1429,2025-03-06,First Class,26.22
1430,1430,2026-01-13,Same Day,29.16
1431,1431,2024-08-14,Second Class,41.27
1432,1432,2026-02-02,First Class,23.61
1433,1433,2024-12-16,Same Day,29.64
1434,1434,2024-10-27,Standard,35.74
1435,1435,2024-08-31,First Class,23.44
1436,1436,2026-01-08,Standard,38.42
1437,1437,2024-07-05,Standard,43.79
1438,1438,2025-04-10,Standard,12.73
1439,1439,2024-12-09,Second Class,19.93
1440,1440,2024-12-23,Same Day,11.48
1441,1441,2025-04-19,Same Day,35.47
1442,1442,2025-10-15,First Class,24.41
1443,1443,2024-08-05,Second Class,32.0
1444,1444,2025-08-23,Second Class,22.18
1445,1445,2024-11-04,First Class,48.39
1446,1446,2025-02-15,First Class,12.55
1447,1447,2025-01-05,Standard,24.29
1448,1448,2024-07-22,Second Class,7.89
1449,1449,2024-10-22,Standard,15.55
1450,1450,2025-02-10,First Class,16.08
1451,1451,2024-10-25,First Class,46.84
1452,1452,2026-01-27,Standard,10.08
1453,1453,2024-12-02,First Class,39.41
1454,1454,2025-05-25,First Class,10.23
1455,1455,2024-06-28,First Class,23.59
1456,1456,2025-03-23,Same Day,27.06
1457,1457,2024-10-15,First Class,30.83
1458,1458,2025-07-02,First Class,17.8
1459,1459,2026-03-25,Second Class,20.57
1460,1460,2026-01-01,First Class,20.64
1461,1461,2025-02-08,Second Class,46.86
1462,1462,2024-10-05,First Class,38.22
1463,1463,2026-02-08,First Class,48.8
1464,1464,2024-10-05,Standard,27.12
1465,1465,2025-10-23,Second Class,43.79
1466,1466,2026-04-17,First Class,22.05
1467,1467,2024-11-15,First Class,36.2
1468,1468,2025-09-26,Second Class,46.17
1469,1469,2025-04-24,Second Class,29.87
1470,1470,2024-06-09,First Class,11.89
1471,1471,2026-03-14,First Class,10.43
1472,1472,2025-11-11,Second Class,49.78
1473,1473,2025-04-21,Standard,32.66
1474,1474,2024-10-02,First Class,49.06
1475,1475,2025-10-25,Same Day,31.18
1476,1476,2024-10-28,First Class,37.04
1477,1477,2024-08-12,Second Class,21.94
1478,1478,2025-07-07,Standard,7.35
1479,1479,2024-12-03,Standard,37.42
1480,1480,2025-12-26,First Class,36.5
1481,1481,2024-12-18,First Class,8.6
1482,1482,2025-09-15,Standard,40.02
1483,1483,2025-04-28,Second Class,25.28
1484,1484,2025-05-13,Standard,24.29
1485,1485,2025-06-21,Same Day,47.93
1486,1486,2024-12-31,Same Day,49.63
1487,1487,2025-07-18,First Class,41.31
1488,1488,2024-12-15,First Class,19.22
1489,1489,2024-11-01,Standard,30.1
1490,1490,2024-11-18,Standard,9.45
1491,1491,2024-06-14,Second Class,6.86
1492,1492,2026-01-11,Second Class,15.89
1493,1493,2025-08-02,Same Day,11.44
1494,1494,2025-06-22,Same Day,36.78
1495,1495,2025-09-02,First Class,20.84
1496,1496,2025-01-27,First Class,26.35
1497,1497,2025-02-26,Same Day,23.04
1498,1498,2024-09-06,First Class,24.02
1499,1499,2025-04-26,Same Day,19.94
1500,1500,2026-05-22,Same Day,12.27
1501,1501,2024-07-03,Second Class,23.45
1502,1502,2026-05-23,Second Class,27.24
1503,1503,2024-11-01,Same Day,44.69
1504,1504,2026-06-03,Same Day,33.51
1505,1505,2025-08-24,First Class,22.8
1506,1506,2026-03-04,First Class,34.19
1507,1507,2025-04-04,Same Day,12.43
1508,1508,2024-08-20,Second Class,48.54
1509,1509,2026-04-29,First Class,11.8
1510,1510,2025-10-20,Second Class,36.7
1511,1511,2026-05-15,First Class,38.81
1512,1512,2025-06-11,First Class,8.01
1513,1513,2024-11-10,Second Class,36.13
1514,1514,2024-08-11,Same Day,5.69
1515,1515,2025-12-07,First Class,35.39
1516,1516,2026-01-18,Same Day,15.61
1517,1517,2025-03-09,Second Class,32.55
1518,1518,2024-11-20,Same Day,15.61
1519,1519,2026-05-01,First Class,23.84
1520,1520,2026-01-13,First Class,23.69
1521,1521,2025-04-27,Same Day,13.01
1522,1522,2025-12-02,Second Class,20.67
1523,1523,2025-09-26,Same Day,20.15
1524,1524,2025-02-01,Standard,5.29
1525,1525,2024-12-04,First Class,37.28
1526,1526,2024-08-03,Second Class,16.51
1527,1527,2024-07-21,First Class,42.72
1528,1528,2024-08-10,Second Class,19.71
1529,1529,2025-05-09,Standard,29.22
1530,1530,2025-06-01,Standard,5.13
1531,1531,2024-09-07,Second Class,28.41
1532,1532,2025-10-05,Second Class,11.18
1533,1533,2024-08-28,Standard,21.09
1534,1534,2025-02-04,Standard,45.2
1535,1535,2026-03-21,First Class,30.24
1536,1536,2025-05-01,Standard,13.72
1537,1537,2025-08-21,Same Day,17.67
1538,1538,2024-07-12,Standard,28.95
1539,1539,2024-08-08,First Class,45.76
1540,1540,2026-01-07,Standard,48.36
1541,1541,2024-09-26,Same Day,38.54
1542,1542,2025-09-03,Standard,14.33
1543,1543,2024-09-11,Second Class,34.69
1544,1544,2024-06-06,First Class,17.27
1545,1545,2025-01-08,Second Class,34.04
1546,1546,2024-11-16,Same Day,19.46
1547,1547,2025-07-10,First Class,35.54
1548,1548,2025-03-30,Second Class,17.28
1549,1549,2026-03-19,Standard,31.09
1550,1550,2025-03-20,Second Class,41.42
1551,1551,2025-12-05,Second Class,49.51
1552,1552,2025-10-06,Same Day,32.51
1553,1553,2024-07-30,First Class,8.92
1554,1554,2026-01-20,Second Class,26.09
1555,1555,2025-11-05,Same Day,21.01
1556,1556,2025-02-02,Second Class,42.49
1557,1557,2025-09-02,Same Day,16.64
1558,1558,2024-08-27,Standard,24.82
1559,1559,2025-05-28,Second Class,24.75
1560,1560,2025-04-21,First Class,24.2
1561,1561,2024-11-27,First Class,28.69
1562,1562,2024-07-10,Standard,6.0
1563,1563,2024-08-09,Second Class,22.66
1564,1564,2025-04-21,First Class,29.01
1565,1565,2026-03-21,Same Day,39.13
1566,1566,2025-04-23,First Class,24.86
1567,1567,2024-06-24,Same Day,26.98
1568,1568,2025-11-24,Second Class,17.14
1569,1569,2026-01-16,Second Class,11.68
1570,1570,2024-08-30,Standard,24.46
1571,1571,2025-10-18,First Class,23.22
1572,1572,2024-12-01,Standard,22.98
1573,1573,2025-08-26,First Class,34.8
1574,1574,2025-02-23,First Class,32.64
1575,1575,2026-02-01,Same Day,7.97
1576,1576,2025-01-10,First Class,40.13
1577,1577,2026-04-11,Standard,19.9
1578,1578,2025-10-25,Same Day,14.95
1579,1579,2026-05-22,Same Day,15.79
1580,1580,2025-04-20,Standard,30.73
1581,1581,2025-10-09,First Class,48.47
1582,1582,2025-09-25,First Class,34.59
1583,1583,2024-06-03,Second Class,8.51
1584,1584,2024-08-12,Second Class,36.06
1585,1585,2025-05-26,Same Day,28.14
1586,1586,2026-05-01,First Class,31.48
1587,1587,2025-09-30,Second Class,29.04
1588,1588,2025-11-06,Second Class,23.46
1589,1589,2025-10-11,First Class,37.05
1590,1590,2024-07-27,Same Day,35.0
1591,1591,2024-09-06,Standard,37.11
1592,1592,2024-07-15,Standard,5.92
1593,1593,2025-05-01,First Class,42.06
1594,1594,2025-03-15,Same Day,26.8
1595,1595,2025-05-22,Second Class,43.05
1596,1596,2025-04-18,First Class,21.81
1597,1597,2025-06-15,First Class,30.32
1598,1598,2024-06-06,Same Day,32.33
1599,1599,2025-01-19,Standard,33.17
1600,1600,2024-05-31,Same Day,23.3
1601,1601,2025-01-04,Second Class,38.71
1602,1602,2025-06-25,Same Day,17.99
1603,1603,2024-07-04,Standard,11.3
1604,1604,2026-03-12,Standard,42.35
1605,1605,2025-05-12,Same Day,9.13
1606,1606,2025-07-30,First Class,28.57
1607,1607,2026-02-10,Standard,30.07
1608,1608,2024-09-08,Standard,13.2
1609,1609,2025-11-05,Standard,40.63
1610,1610,2025-10-23,Same Day,10.89
1611,1611,2024-12-11,Same Day,28.27
1612,1612,2025-05-15,First Class,27.57
1613,1613,2025-04-25,First Class,16.25
1614,1614,2025-08-27,First Class,28.28
1615,1615,2025-04-14,Standard,27.33
1616,1616,2026-04-04,Second Class,10.4
1617,1617,2026-04-17,First Class,46.16
1618,1618,2025-04-21,First Class,43.67
1619,1619,2024-06-25,Same Day,9.83
1620,1620,2024-07-29,Standard,44.94
1621,1621,2024-06-25,First Class,9.46
1622,1622,2025-12-09,First Class,8.43
1623,1623,2025-09-15,Same Day,32.4
1624,1624,2025-05-06,Second Class,46.19
1625,1625,2025-06-15,Standard,31.02
1626,1626,2025-12-10,First Class,34.63
1627,1627,2025-07-29,Same Day,11.67
1628,1628,2025-02-09,Same Day,12.99
1629,1629,2026-03-26,Same Day,10.83
1630,1630,2024-07-07,First Class,37.84
1631,1631,2024-06-07,Same Day,16.28
1632,1632,2024-08-19,Second Class,39.67
1633,1633,2024-06-18,Same Day,29.89
1634,1634,2024-11-10,Standard,27.28
1635,1635,2024-09-05,First Class,11.72
1636,1636,2025-07-15,Same Day,8.8
1637,1637,2025-03-19,Same Day,45.19
1638,1638,2025-04-24,First Class,25.48
1639,1639,2025-08-19,First Class,41.72
1640,1640,2026-03-11,Standard,14.63
1641,1641,2025-03-29,Same Day,47.44
1642,1642,2024-10-26,Standard,35.99
1643,1643,2026-03-17,Second Class,37.95
1644,1644,2025-12-06,First Class,22.01
1645,1645,2025-12-30,First Class,46.64
1646,1646,2024-12-13,Same Day,20.9
1647,1647,2026-05-08,Same Day,23.8
1648,1648,2024-07-29,Standard,14.07
1649,1649,2026-05-10,First Class,36.45
1650,1650,2024-10-06,Second Class,27.41
1651,1651,2026-01-04,Same Day,28.58
1652,1652,2025-11-04,Second Class,30.09
1653,1653,2025-11-04,Second Class,26.38
1654,1654,2026-03-12,Same Day,29.95
1655,1655,2026-04-09,First Class,31.43
1656,1656,2025-12-29,Same Day,36.36
1657,1657,2024-12-16,Same Day,14.8
1658,1658,2024-08-20,Standard,42.91
1659,1659,2024-07-06,Standard,5.6
1660,1660,2024-06-18,Second Class,14.58
1661,1661,2025-07-31,Same Day,25.38
1662,1662,2025-01-03,Second Class,6.75
1663,1663,2024-12-14,First Class,40.93
1664,1664,2025-05-20,Second Class,24.95
1665,1665,2026-05-09,First Class,32.31
1666,1666,2025-10-30,Standard,18.75
1667,1667,2026-05-31,Standard,10.1
1668,1668,2024-06-30,Same Day,28.53
1669,1669,2026-04-17,Second Class,24.06
1670,1670,2024-12-27,Second Class,41.93
1671,1671,2026-04-24,Standard,8.17
1672,1672,2024-09-15,First Class,13.71
1673,1673,2026-01-08,Second Class,24.1
1674,1674,2024-06-08,First Class,6.49
1675,1675,2024-10-02,Same Day,5.9
1676,1676,2024-09-20,Second Class,20.64
1677,1677,2024-08-07,Second Class,45.0
1678,1678,2024-08-27,Standard,5.07
1679,1679,2024-07-15,Same Day,39.96
1680,1680,2026-01-21,Standard,14.68
1681,1681,2024-12-04,First Class,47.9
1682,1682,2026-03-20,Standard,10.0
1683,1683,2024-10-11,First Class,23.86
1684,1684,2026-02-18,First Class,35.59
1685,1685,2025-10-04,Standard,37.23
1686,1686,2026-02-23,Second Class,22.16
1687,1687,2024-11-27,Standard,26.36
1688,1688,2024-11-22,Standard,13.1
1689,1689,2025-10-30,First Class,49.35
1690,1690,2025-07-30,Standard,47.15
1691,1691,2025-12-03,Second Class,27.14
1692,1692,2024-10-14,Second Class,48.35
1693,1693,2025-08-04,Same Day,13.44
1694,1694,2025-01-07,Standard,28.18
1695,1695,2026-01-23,First Class,43.8
1696,1696,2025-08-29,Second Class,14.18
1697,1697,2024-10-13,Same Day,7.55
1698,1698,2025-07-25,Same Day,37.44
1699,1699,2026-03-10,First Class,36.41
1700,1700,2025-02-02,First Class,10.1
1701,1701,2024-06-17,Standard,9.74
1702,1702,2024-09-12,Second Class,32.59
1703,1703,2025-11-12,Same Day,34.04
1704,1704,2026-05-21,Standard,21.46
1705,1705,2024-08-17,Same Day,19.98
1706,1706,2026-02-05,Standard,11.72
1707,1707,2026-03-20,Standard,39.41
1708,1708,2024-08-13,Standard,29.6
1709,1709,2025-01-16,Second Class,48.99
1710,1710,2024-12-07,Second Class,23.59
1711,1711,2026-03-28,First Class,35.73
1712,1712,2026-03-02,Standard,21.61
1713,1713,2025-11-04,Same Day,24.46
1714,1714,2025-01-01,First Class,23.23
1715,1715,2025-02-06,First Class,40.76
1716,1716,2025-03-17,Second Class,11.73
1717,1717,2024-09-22,First Class,32.8
1718,1718,2025-08-07,Same Day,30.43
1719,1719,2026-02-07,Standard,33.08
1720,1720,2025-04-02,First Class,47.76
1721,1721,2025-01-19,Second Class,49.28
1722,1722,2025-06-16,First Class,44.75
1723,1723,2026-05-13,Second Class,31.34
1724,1724,2026-02-21,Second Class,46.86
1725,1725,2025-07-17,Standard,11.43
1726,1726,2024-07-11,Same Day,14.31
1727,1727,2025-02-09,First Class,6.69
1728,1728,2026-01-19,Second Class,8.62
1729,1729,2024-07-30,Second Class,30.54
1730,1730,2024-07-20,Same Day,11.15
1731,1731,2026-02-10,Second Class,15.72
1732,1732,2025-04-20,First Class,45.09
1733,1733,2024-08-31,First Class,19.65
1734,1734,2026-05-04,Second Class,13.01
1735,1735,2025-03-26,Second Class,5.57
1736,1736,2024-11-14,Standard,47.75
1737,1737,2024-10-15,First Class,16.22
1738,1738,2026-02-25,Same Day,46.53
1739,1739,2025-11-15,First Class,11.78
1740,1740,2024-08-01,Second Class,40.18
1741,1741,2026-03-27,Standard,28.52
1742,1742,2024-08-01,First Class,21.95
1743,1743,2026-04-01,Same Day,30.68
1744,1744,2026-01-30,Second Class,43.42
1745,1745,2025-01-21,Standard,45.7
1746,1746,2024-10-25,First Class,34.8
1747,1747,2024-11-12,First Class,34.37
1748,1748,2026-02-14,First Class,22.54
1749,1749,2025-05-15,Same Day,44.37
1750,1750,2024-12-29,Same Day,7.14
1751,1751,2024-12-06,First Class,26.62
1752,1752,2025-12-30,Same Day,11.12
1753,1753,2024-08-08,Second Class,11.54
1754,1754,2025-01-09,Same Day,10.56
1755,1755,2025-03-13,Second Class,42.69
1756,1756,2024-08-13,First Class,17.88
1757,1757,2024-08-26,Standard,25.99
1758,1758,2025-04-12,Second Class,40.77
1759,1759,2024-12-01,First Class,18.96
1760,1760,2025-12-09,Standard,43.93
1761,1761,2025-03-30,Second Class,22.43
1762,1762,2026-01-14,Same Day,32.68
1763,1763,2026-06-02,Same Day,21.33
1764,1764,2024-07-06,Same Day,30.37
1765,1765,2024-08-12,Same Day,6.74
1766,1766,2025-12-21,Standard,32.05
1767,1767,2025-05-06,Same Day,12.25
1768,1768,2025-12-05,Second Class,34.05
1769,1769,2026-04-04,Standard,6.83
1770,1770,2024-06-14,Standard,13.64
1771,1771,2024-10-12,Standard,7.22
1772,1772,2025-01-28,Standard,10.69
1773,1773,2024-07-25,Standard,21.02
1774,1774,2026-05-12,Standard,31.13
1775,1775,2026-01-13,Standard,36.06
1776,1776,2025-07-11,Second Class,19.36
1777,1777,2025-05-13,Same Day,8.05
1778,1778,2026-03-13,Same Day,33.32
1779,1779,2026-05-24,Second Class,15.23
1780,1780,2025-03-17,Second Class,9.76
1781,1781,2025-02-07,First Class,6.19
1782,1782,2024-08-17,Same Day,31.94
1783,1783,2025-08-13,Same Day,28.6
1784,1784,2025-11-21,First Class,26.5
1785,1785,2025-12-01,Second Class,14.66
1786,1786,2024-08-03,First Class,9.57
1787,1787,2026-03-13,Second Class,5.0
1788,1788,2025-04-24,Same Day,35.97
1789,1789,2025-11-08,Same Day,10.33
1790,1790,2024-07-27,Second Class,10.85
1791,1791,2025-10-05,Same Day,49.27
1792,1792,2025-08-19,Same Day,35.33
1793,1793,2025-09-06,Same Day,28.31
1794,1794,2025-08-23,First Class,22.26
1795,1795,2024-10-01,Second Class,27.27
1796,1796,2025-08-10,Same Day,49.7
1797,1797,2025-03-29,First Class,23.31
1798,1798,2026-04-29,First Class,45.39
1799,1799,2025-07-17,Same Day,26.44
1800,1800,2025-12-21,Standard,32.16
1801,1801,2026-01-11,Second Class,22.01
1802,1802,2026-05-17,Same Day,5.71
1803,1803,2025-07-28,Second Class,15.61
1804,1804,2026-01-15,Same Day,43.05
1805,1805,2025-02-15,Same Day,21.58
1806,1806,2025-01-02,Same Day,45.89
1807,1807,2026-02-11,Same Day,32.13
1808,1808,2025-11-27,Second Class,46.02
1809,1809,2026-03-18,Standard,42.98
1810,1810,2025-03-18,Standard,23.3
1811,1811,2025-04-09,Second Class,5.5
1812,1812,2026-05-17,Same Day,49.39
1813,1813,2025-01-31,Second Class,24.93
1814,1814,2026-04-17,Second Class,20.78
1815,1815,2024-10-08,Same Day,18.88
1816,1816,2025-02-03,Same Day,48.99
1817,1817,2026-03-30,Second Class,17.2
1818,1818,2025-11-04,First Class,40.8
1819,1819,2026-02-12,First Class,45.52
1820,1820,2025-02-08,Standard,36.06
1821,1821,2026-04-03,Second Class,5.76
1822,1822,2026-01-17,Same Day,23.9
1823,1823,2024-10-16,First Class,27.02
1824,1824,2026-01-30,First Class,23.23
1825,1825,2025-07-27,First Class,6.45
1826,1826,2024-08-09,Second Class,38.67
1827,1827,2024-08-02,First Class,12.33
1828,1828,2025-06-24,First Class,42.78
1829,1829,2024-09-30,Standard,40.55
1830,1830,2025-08-11,Same Day,46.1
1831,1831,2025-03-03,Same Day,26.07
1832,1832,2024-12-02,Standard,34.27
1833,1833,2025-01-15,Second Class,20.48
1834,1834,2025-08-24,Same Day,28.3
1835,1835,2025-10-27,Same Day,45.68
1836,1836,2025-05-15,Same Day,14.15
1837,1837,2025-04-24,Second Class,14.87
1838,1838,2025-06-03,First Class,20.82
1839,1839,2024-11-09,Standard,32.9
1840,1840,2024-09-06,First Class,47.6
1841,1841,2026-04-23,First Class,44.42
1842,1842,2026-05-23,Second Class,24.54
1843,1843,2026-01-23,Standard,20.96
1844,1844,2025-06-18,First Class,22.62
1845,1845,2024-07-27,First Class,29.0
1846,1846,2026-03-11,Same Day,9.5
1847,1847,2025-09-16,Standard,17.29
1848,1848,2025-08-30,Standard,42.34
1849,1849,2025-12-02,Same Day,43.04
1850,1850,2025-08-04,Standard,22.48
1851,1851,2025-12-24,Same Day,31.8
1852,1852,2024-12-05,First Class,35.29
1853,1853,2025-10-15,Same Day,27.12
1854,1854,2025-02-08,Second Class,41.1
1855,1855,2025-07-05,Same Day,30.59
1856,1856,2026-05-23,Standard,24.62
1857,1857,2026-04-06,First Class,29.3
1858,1858,2025-09-04,Standard,17.57
1859,1859,2025-01-05,Second Class,46.48
1860,1860,2025-07-07,Standard,32.09
1861,1861,2025-05-22,Standard,15.46
1862,1862,2025-02-09,Same Day,15.8
1863,1863,2025-02-28,Second Class,22.04
1864,1864,2025-08-21,First Class,36.96
1865,1865,2025-05-10,First Class,24.74
1866,1866,2025-01-01,Same Day,34.95
1867,1867,2026-01-23,First Class,18.96
1868,1868,2025-10-11,First Class,32.5
1869,1869,2025-08-02,Second Class,25.85
1870,1870,2025-01-13,Second Class,32.54
1871,1871,2026-05-30,Same Day,37.48
1872,1872,2025-07-14,Same Day,17.2
1873,1873,2025-09-07,Standard,14.4
1874,1874,2025-06-24,First Class,22.43
1875,1875,2025-11-07,Standard,14.69
1876,1876,2025-03-03,Same Day,26.25
1877,1877,2025-08-23,Standard,13.85
1878,1878,2024-09-22,Standard,32.35
